pclass;survived;sex;age;sibsp;parch;fare
1;1;1;29;0;0;211.34
1;1;0;0.9;1;2;151.55
1;0;1;2;1;2;151.55
1;0;0;30;1;2;151.55
1;0;1;25;1;2;151.55
1;1;0;48;0;0;26.55
1;1;1;63;1;0;77.96
1;0;0;39;0;0;0.00
1;1;1;53;2;0;51.48
1;0;0;71;0;0;49.50
1;0;0;47;1;0;227.53
1;1;1;18;1;0;227.53
1;1;1;24;0;0;69.30
1;1;1;26;0;0;78.85
1;1;0;80;0;0;30.00
1;0;0;;0;0;25.93
1;0;0;24;0;1;247.52
1;1;1;50;0;1;247.52
1;1;1;32;0;0;76.29
1;0;0;36;0;0;75.24
1;1;0;37;1;1;52.55
1;1;1;47;1;1;52.55
1;1;0;26;0;0;30.00
1;1;1;42;0;0;227.53
1;1;1;29;0;0;221.78
1;0;0;25;0;0;26.00
1;1;0;25;1;0;91.08
1;1;1;19;1;0;91.08
1;1;1;35;0;0;135.63
1;1;0;28;0;0;26.55
1;0;0;45;0;0;35.50
1;1;0;40;0;0;31.00
1;1;1;30;0;0;164.87
1;1;1;58;0;0;26.55
1;0;0;42;0;0;26.55
1;1;1;45;0;0;262.38
1;1;1;22;0;1;55.00
1;1;0;;0;0;26.55
1;0;0;41;0;0;30.50
1;0;0;48;0;0;50.50
1;0;0;;0;0;39.60
1;1;1;44;0;0;27.72
1;1;1;59;2;0;51.48
1;1;1;60;0;0;76.29
1;1;1;41;0;0;134.50
1;0;0;45;0;0;26.55
1;0;0;;0;0;31.00
1;1;0;42;0;0;26.29
1;1;1;53;0;0;27.45
1;1;0;36;0;1;512.33
1;1;1;58;0;1;512.33
1;0;0;33;0;0;5.00
1;0;0;28;0;0;47.10
1;0;0;17;0;0;47.10
1;1;0;11;1;2;120.00
1;1;1;14;1;2;120.00
1;1;0;36;1;2;120.00
1;1;1;36;1;2;120.00
1;0;0;49;0;0;26.00
1;1;1;;0;0;27.72
1;0;0;36;1;0;78.85
1;1;1;76;1;0;78.85
1;0;0;46;1;0;61.18
1;1;1;47;1;0;61.18
1;1;0;27;1;0;53.10
1;1;1;33;1;0;53.10
1;1;1;36;0;0;262.38
1;1;1;30;0;0;86.50
1;1;0;45;0;0;29.70
1;1;1;;0;1;55.00
1;0;0;;0;0;0.00
1;0;0;27;1;0;136.78
1;1;1;26;1;0;136.78
1;1;1;22;0;0;151.55
1;0;0;;0;0;52.00
1;0;0;47;0;0;25.59
1;1;1;39;1;1;83.16
1;0;0;37;1;1;83.16
1;1;1;64;0;2;83.16
1;1;1;55;2;0;25.70
1;0;0;;0;0;26.55
1;0;0;70;1;1;71.00
1;1;1;36;0;2;71.00
1;1;1;64;1;1;26.55
1;0;0;39;1;0;71.28
1;1;1;38;1;0;71.28
1;1;0;51;0;0;26.55
1;1;0;27;0;0;30.50
1;1;1;33;0;0;151.55
1;0;0;31;1;0;52.00
1;1;1;27;1;2;52.00
1;1;0;31;1;0;57.00
1;1;1;17;1;0;57.00
1;1;0;53;1;1;81.86
1;1;0;4;0;2;81.86
1;1;1;54;1;1;81.86
1;0;0;50;1;0;106.43
1;1;1;27;1;1;247.52
1;1;1;48;1;0;106.43
1;1;1;48;1;0;39.60
1;1;0;49;1;0;56.93
1;0;0;39;0;0;29.70
1;1;1;23;0;1;83.16
1;1;1;38;0;0;227.53
1;1;1;54;1;0;78.27
1;0;1;36;0;0;31.68
1;0;0;;0;0;221.78
1;1;1;;0;0;31.68
1;1;1;;0;0;110.88
1;1;0;36;0;0;26.39
1;0;0;30;0;0;27.75
1;1;1;24;3;2;263.00
1;1;1;28;3;2;263.00
1;1;1;23;3;2;263.00
1;0;0;19;3;2;263.00
1;0;0;64;1;4;263.00
1;1;1;60;1;4;263.00
1;1;1;30;0;0;56.93
1;0;0;;0;0;26.55
1;1;0;50;2;0;133.65
1;1;0;43;1;0;27.72
1;1;1;;1;0;133.65
1;1;1;22;0;2;49.50
1;1;0;60;1;1;79.20
1;1;1;48;1;1;79.20
1;0;0;;0;0;0.00
1;0;0;37;1;0;53.10
1;1;1;35;1;0;53.10
1;0;0;47;0;0;38.50
1;1;1;35;0;0;211.50
1;1;1;22;0;1;59.40
1;1;1;45;0;1;59.40
1;0;0;24;0;0;79.20
1;1;0;49;1;0;89.10
1;1;1;;1;0;89.10
1;0;0;71;0;0;34.65
1;1;0;53;0;0;28.50
1;1;1;19;0;0;30.00
1;0;0;38;0;1;153.46
1;1;1;58;0;1;153.46
1;1;0;23;0;1;63.36
1;1;1;45;0;1;63.36
1;0;0;46;0;0;79.20
1;1;0;25;1;0;55.44
1;1;1;25;1;0;55.44
1;1;0;48;1;0;76.73
1;1;1;49;1;0;76.73
1;0;0;;0;0;42.40
1;0;0;45;1;0;83.48
1;1;1;35;1;0;83.48
1;0;0;40;0;0;0.00
1;1;0;27;0;0;76.73
1;1;0;;0;0;30.00
1;1;1;24;0;0;83.16
1;0;0;55;1;1;93.50
1;1;1;52;1;1;93.50
1;0;0;42;0;0;42.50
1;0;0;;0;0;51.86
1;0;0;55;0;0;50.00
1;1;1;16;0;1;57.98
1;1;1;44;0;1;57.98
1;1;1;51;1;0;77.96
1;0;0;42;1;0;52.00
1;1;1;35;1;0;52.00
1;1;0;35;0;0;26.55
1;1;0;38;1;0;90.00
1;0;0;;0;0;30.70
1;1;1;35;1;0;90.00
1;1;1;38;0;0;80.00
1;0;1;50;0;0;28.71
1;1;0;49;0;0;0.00
1;0;0;46;0;0;26.00
1;0;0;50;0;0;26.00
1;0;0;32.5;0;0;211.50
1;0;0;58;0;0;29.70
1;0;0;41;1;0;51.86
1;1;1;;1;0;51.86
1;1;0;42;1;0;52.55
