Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-03-10,21.756,21.756,21.756,21.756,205957
1999-03-11,23.766,23.766,23.766,23.766,104554
1999-03-12,26.053,26.053,26.053,26.053,98970
1999-03-15,28.612,28.612,28.612,28.612,69065
1999-03-16,28.612,28.612,28.612,28.612,162327
1999-03-17,28.612,28.612,28.612,28.612,74051
1999-03-18,28.795,28.795,28.795,28.795,46576
1999-03-19,30.165,30.165,30.165,30.165,23148
1999-03-22,27.698,27.698,27.698,27.698,3824
1999-03-23,28.247,28.247,28.247,28.247,9408
1999-03-24,27.241,27.241,27.241,27.241,12095
1999-03-25,27.423,27.423,27.423,27.423,22500
1999-03-26,28.612,28.612,28.612,28.612,10158
1999-03-29,29.069,29.069,29.069,29.069,19061
1999-03-30,28.795,28.795,28.795,28.795,6797
1999-03-31,27.698,27.698,27.698,27.698,2520
1999-04-01,27.698,27.698,27.698,27.698,6274
1999-04-06,27.241,27.241,27.241,27.241,5115
1999-04-07,27.698,27.698,27.698,27.698,17841
1999-04-08,28.156,28.156,28.156,28.156,6842
1999-04-09,28.612,28.612,28.612,28.612,16806
1999-04-12,28.795,28.795,28.795,28.795,20328
1999-04-13,29.525,29.525,29.525,29.525,21546
1999-04-14,29.617,29.617,29.617,29.617,11793
1999-04-15,29.71,29.71,29.71,29.71,4949
1999-04-16,30.898,30.898,30.898,30.898,16633
1999-04-19,33.183,33.183,33.183,33.183,11365
1999-04-20,31.995,31.995,31.995,31.995,5125
1999-04-21,33.274,33.274,33.274,33.274,19487
1999-04-22,34.28,34.28,34.28,34.28,21778
1999-04-23,34.556,34.556,34.556,34.556,16274
1999-04-26,34.28,34.28,34.28,34.28,3410
1999-04-27,33.365,33.365,33.365,33.365,5404
1999-04-28,33.365,33.365,33.365,33.365,16084
1999-04-29,32.909,32.909,32.909,32.909,22644
1999-04-30,33.548,33.548,33.548,33.548,5965
1999-05-04,34.097,34.097,34.097,34.097,10671
1999-05-05,34.556,34.556,34.556,34.556,18843
1999-05-06,35.834,35.834,35.834,35.834,12939
1999-05-07,35.468,35.468,35.468,35.468,9664
1999-05-10,35.195,35.195,35.195,35.195,2980
1999-05-11,34.919,34.919,34.919,34.919,5560
1999-05-12,34.736,34.736,34.736,34.736,4970
1999-05-13,35.195,35.195,35.195,35.195,9351
1999-05-14,35.011,35.011,35.011,35.011,5340
1999-05-17,34.28,34.28,34.28,34.28,21717
1999-05-18,34.556,34.556,34.556,34.556,6983
1999-05-19,34.919,34.919,34.919,34.919,7214
1999-05-20,35.195,35.195,35.195,35.195,8807
1999-05-21,35.195,35.195,35.195,35.195,9408
1999-05-24,34.736,34.736,34.736,34.736,11071
1999-05-25,34.28,34.28,34.28,34.28,13645
1999-05-26,33.822,33.822,33.822,33.822,12983
1999-05-27,33.822,33.822,33.822,33.822,22500
1999-05-28,33.274,33.274,33.274,33.274,8672
1999-05-31,33.183,33.183,33.183,33.183,3514
1999-06-01,33.183,33.183,33.183,33.183,10858
1999-06-02,34.097,34.097,34.097,34.097,19573
1999-06-07,35.011,35.011,35.011,35.011,8722
1999-06-08,35.011,35.011,35.011,35.011,9444
1999-06-09,33.822,33.822,33.822,33.822,16160
1999-06-10,34.28,34.28,34.28,34.28,5714
1999-06-11,34.646,34.646,34.646,34.646,20067
1999-06-14,34.736,34.736,34.736,34.736,8901
1999-06-15,35.011,35.011,35.011,35.011,7369
1999-06-16,34.646,34.646,34.646,34.646,2878
1999-06-17,35.011,35.011,35.011,35.011,8171
1999-06-18,35.195,35.195,35.195,35.195,5714
1999-06-21,35.652,35.652,35.652,35.652,5790
1999-06-22,36.565,36.565,36.565,36.565,14987
1999-06-23,35.925,35.925,35.925,35.925,17755
1999-06-24,35.925,35.925,35.925,35.925,5938
1999-06-25,35.925,35.925,35.925,35.925,2495
1999-06-28,35.925,35.925,35.925,35.925,6464
1999-06-29,36.381,36.381,36.381,36.381,20751
1999-06-30,36.565,36.565,36.565,36.565,24198
1999-07-01,36.565,36.565,36.565,36.565,12979
1999-07-02,37.297,37.297,37.297,37.297,12364
1999-07-05,40.037,40.037,40.037,40.037,21709
1999-07-06,41.136,41.136,41.136,41.136,17546
1999-07-07,41.136,41.136,41.136,41.136,12786
1999-07-08,42.325,42.325,42.325,42.325,10906
1999-07-09,42.325,42.325,42.325,42.325,6993
1999-07-12,42.233,42.233,42.233,42.233,2500
1999-07-13,41.867,41.867,41.867,41.867,3056
1999-07-14,41.409,41.409,41.409,41.409,5036
1999-07-15,41.592,41.592,41.592,41.592,12103
1999-07-16,41.409,41.409,41.409,41.409,10529
1999-07-19,40.953,40.953,40.953,40.953,6473
1999-07-20,42.325,42.325,42.325,42.325,4440
1999-07-21,45.523,45.523,45.523,45.523,23731
1999-07-22,45.523,45.523,45.523,45.523,34052
1999-07-23,45.432,45.432,45.432,45.432,5495
1999-07-26,44.335,44.335,44.335,44.335,8896
1999-07-27,44.793,44.793,44.793,44.793,17333
1999-07-28,45.523,45.523,45.523,45.523,3393
1999-07-29,45.067,45.067,45.067,45.067,10858
1999-07-30,44.793,44.793,44.793,44.793,3903
1999-08-02,45.158,45.158,45.158,45.158,4289
